Statement,Label
Russian bombers fire cruise missiles at Islamic State targets in Syria: RIA,TRUE
North Korea warns states: Don't join any U.S. action and you're safe,TRUE
"U.N. panel calls on North Korea to end torture, child labor",TRUE
Sessions' role as U.S. attorney general unsettles legalized pot industry,TRUE
Pakistan finance minister denies corruption charges,TRUE
"Sanders praises Obama, Biden for impartiality, to meet with Clinton soon",TRUE
"Obama, Abu Dhabi Crown Prince discuss Yemen, Libya conflicts",TRUE
 WATCH: Jorge Ramos Makes Sean Hannity Look Like A Complete A**hole,FALSE
BOOM! CONSUMER CONFIDENCE SOARS To Level Americans Haven’t Seen Since Another Republican Was President…MEDIA SILENT,FALSE
Soccer star Weah leads most counties in Liberia presidential election vote,TRUE
Trans-Atlantic data talks targeted by U.S. Republicans at 11th hour,TRUE
"Clinton, Sanders race takes on angrier tone after Nevada",TRUE
Afghans who helped U.S. forces get more visas under funding bill,TRUE
More than 60 Rohingya feared drowned as U.S. steps up pressure on Myanmar,TRUE
Malta court hears blogger bomb probably triggered from boat at sea,TRUE
Republican senator: Tax plan needs more relief for pass-through businesses,TRUE
 Creationist Freak Ken Ham LOSES IT Because The Press Cares About A Gorilla (TWEETS),FALSE
 BREAKING: Dir. Comey Just CRUSHED The GOP’s Fantasies Of Endless Clinton Investigations (TWEETS),FALSE
Iraqi PM says Kurds 'playing with fire' with independence vote: report,TRUE
 Trump Calls On White Supporters To Intimidate Voters At The Polls,FALSE
Peru's prime minister skeptical about bill to expand anti-graft rules,TRUE
Four Breitbart journalists quit after alleged Trump rally assault,TRUE
"Despite by-election loss, Pakistan opposition claims momentum for 2018",TRUE
Factbox: Trump on Twitter (December 5) - Utah national monuments,TRUE
Trump's unpredictability already troubles U.S. friends,TRUE
Puerto Rico debt bill due in 'coming days': House Speaker Ryan,TRUE
Trump's dilemma: slower job growth or rising rates and inflation?,TRUE
"Brazil's Lula, Bolsonaro well positioned for 2018 elections: poll",TRUE
"U.S. bolsters cyber defense for election, few new steps on violence",TRUE
Major Venezuelan opposition parties to boycott local polls,TRUE
Mexican women testify over sexual torture before international panel,TRUE
